name,description,BattleIQ,Intelligence,Durability,FIT_FOR,AGILITY,TYPE
#127,A META WAIFU,68%,103%,75%,Action,20%,Tsundere
#128,A META WAIFU,112%,62%,22%,Ecchi,36%,Catgirl
#129,A META WAIFU,108%,76%,25%,LAB,52%,Dandere
#130,A META WAIFU,98%,66%,113%,catGirl,30%,Catgirl
#131,A META WAIFU,18%,101%,77%,rom-com,18%,Maid
#132,A META WAIFU,51%,72%,79%,kodomomuke,73%,Maid
#133,A META WAIFU,82%,71%,34%,LAB,113%,Catgirl
#134,A META WAIFU,17%,59%,36%,Shoujo,66%,Idol Singer
#135,A META WAIFU,45%,23%,85%,Action,66%,Catgirl
#136,A META WAIFU,34%,44%,64%,kodomomuke,82%,Dandere
#137,A META WAIFU,42%,70%,21%,Ecchi,63%,Volatile
#138,A META WAIFU,83%,78%,41%,Ecchi,109%,Idol Singer
#139,A META WAIFU,53%,37%,87%,Shoujo,45%,Maid
#140,A META WAIFU,79%,67%,73%,Shoujo,108%,Yandere
#141,A META WAIFU,85%,31%,68%,Shoujo,16%,Dandere
#142,A META WAIFU,20%,82%,39%,Shoujo,36%,Idol Singer
#143,A META WAIFU,92%,99%,19%,Shoujo,22%,Dandere
#144,A META WAIFU,63%,65%,63%,LAB,91%,Yandere
#145,A META WAIFU,57%,93%,54%,kodomomuke,21%,Meganekko
#146,A META WAIFU,77%,102%,64%,Ecchi,115%,Idol Singer
#147,A META WAIFU,92%,39%,16%,Harem,46%,Volatile
#148,A META WAIFU,63%,35%,68%,Shoujo,78%,Varient
#149,A META WAIFU,98%,84%,19%,Shoujo,50%,Tsundere
#150,A META WAIFU,94%,36%,86%,LAB,41%,Volatile
#151,A META WAIFU,56%,62%,44%,Shoujo,58%,Meganekko
#152,A META WAIFU,30%,65%,18%,kodomomuke,91%,Catgirl
#153,A META WAIFU,29%,75%,86%,Ecchi,75%,Kuudere
#154,A META WAIFU,89%,43%,33%,Action,79%,Volatile
#155,A META WAIFU,101%,28%,17%,catGirl,70%,Varient
#156,A META WAIFU,22%,79%,18%,Action,16%,Maid
#157,A META WAIFU,73%,74%,101%,Ecchi,83%,Moekko
#158,A META WAIFU,95%,16%,77%,Action,71%,Dandere
#159,A META WAIFU,113%,79%,40%,Ecchi,66%,Otaku
#160,A META WAIFU,71%,20%,110%,LAB,49%,Moekko
#161,A META WAIFU,32%,92%,67%,rom-com,54%,Varient
#162,A META WAIFU,63%,95%,18%,Ecchi,61%,Yandere
#163,A META WAIFU,24%,96%,108%,Action,93%,Tsundere
#164,A META WAIFU,107%,87%,95%,Ecchi,54%,Kuudere
#165,A META WAIFU,68%,91%,43%,kodomomuke,44%,Yandere
#166,A META WAIFU,22%,87%,18%,Ecchi,31%,Catgirl
#167,A META WAIFU,29%,70%,22%,Ecchi,59%,Varient
#168,A META WAIFU,99%,36%,101%,Harem,72%,Dandere
#169,A META WAIFU,52%,18%,25%,Action,88%,Volatile
#170,A META WAIFU,63%,92%,66%,Shoujo,45%,Moekko
#171,A META WAIFU,100%,106%,52%,catGirl,61%,Dominant
#172,A META WAIFU,62%,100%,115%,Ecchi,37%,Dandere
#173,A META WAIFU,95%,98%,27%,Action,63%,Catgirl
#174,A META WAIFU,35%,84%,49%,rom-com,38%,Varient
#175,A META WAIFU,98%,56%,72%,Action,22%,Dominant
#176,A META WAIFU,92%,112%,52%,catGirl,62%,Moekko
#177,A META WAIFU,89%,20%,57%,LAB,49%,Varient
#178,A META WAIFU,37%,77%,103%,Ecchi,100%,Varient
#179,A META WAIFU,54%,103%,49%,LAB,29%,Moekko
#180,A META WAIFU,104%,93%,44%,kodomomuke,40%,Dominant
#181,A META WAIFU,58%,56%,65%,Shoujo,22%,Kuudere
#182,A META WAIFU,17%,76%,54%,Shoujo,112%,Moekko
#183,A META WAIFU,57%,29%,64%,Ecchi,108%,Moekko
#184,A META WAIFU,103%,36%,21%,kodomomuke,95%,Meganekko
#185,A META WAIFU,93%,38%,18%,Shoujo,66%,Idol Singer
#186,A META WAIFU,115%,105%,39%,catGirl,79%,Catgirl
#187,A META WAIFU,71%,64%,63%,catGirl,93%,Maid
#188,A META WAIFU,35%,99%,33%,Harem,66%,Yandere
#189,A META WAIFU,46%,97%,46%,Ecchi,47%,Dandere
#190,A META WAIFU,35%,28%,96%,catGirl,79%,Dandere
#191,A META WAIFU,111%,76%,34%,kodomomuke,41%,Tsundere
#192,A META WAIFU,24%,79%,95%,Ecchi,77%,Varient
#193,A META WAIFU,55%,107%,69%,Shoujo,107%,Dominant
#194,A META WAIFU,103%,115%,75%,Ecchi,114%,Dandere
#195,A META WAIFU,93%,65%,33%,Shoujo,99%,Varient
#196,A META WAIFU,70%,57%,95%,catGirl,16%,Varient
#197,A META WAIFU,107%,63%,35%,kodomomuke,100%,Varient
#198,A META WAIFU,35%,51%,32%,Ecchi,109%,Maid
#199,A META WAIFU,43%,51%,73%,rom-com,24%,Moekko
#200,A META WAIFU,73%,22%,22%,Shoujo,61%,Dominant
#201,A META WAIFU,27%,61%,61%,LAB,80%,Dominant
#202,A META WAIFU,39%,22%,105%,Shoujo,39%,Meganekko
#203,A META WAIFU,77%,17%,89%,catGirl,110%,Catgirl
#204,A META WAIFU,57%,95%,100%,Harem,38%,Idol Singer
#205,A META WAIFU,27%,64%,19%,LAB,21%,Tsundere
#206,A META WAIFU,112%,20%,109%,kodomomuke,72%,Varient
#207,A META WAIFU,88%,87%,29%,rom-com,105%,Moekko
#208,A META WAIFU,74%,19%,46%,Action,20%,Meganekko
#209,A META WAIFU,114%,57%,90%,kodomomuke,112%,Maid
#210,A META WAIFU,80%,48%,21%,LAB,95%,Otaku
#211,A META WAIFU,28%,55%,113%,catGirl,59%,Otaku
#212,A META WAIFU,82%,26%,79%,catGirl,111%,Idol Singer
#213,A META WAIFU,57%,35%,60%,LAB,83%,Dominant
#214,A META WAIFU,93%,100%,18%,catGirl,36%,Kuudere
#215,A META WAIFU,32%,79%,103%,Harem,22%,Otaku
#216,A META WAIFU,66%,93%,62%,Harem,44%,Kuudere
#217,A META WAIFU,60%,87%,64%,Ecchi,106%,Yandere
#218,A META WAIFU,113%,20%,45%,Shoujo,61%,Dominant
#219,A META WAIFU,107%,66%,88%,rom-com,92%,Dandere
#220,A META WAIFU,29%,31%,17%,LAB,36%,Catgirl
#221,A META WAIFU,104%,65%,57%,catGirl,92%,Maid
#222,A META WAIFU,51%,68%,46%,Harem,51%,Kuudere
#223,A META WAIFU,42%,109%,101%,kodomomuke,17%,Catgirl
#224,A META WAIFU,48%,18%,112%,LAB,113%,Meganekko
#225,A META WAIFU,27%,111%,24%,Action,36%,Dandere
#226,A META WAIFU,67%,61%,24%,Ecchi,99%,Yandere
#227,A META WAIFU,45%,101%,40%,LAB,41%,Kuudere
#228,A META WAIFU,29%,65%,26%,catGirl,114%,Varient
#229,A META WAIFU,36%,25%,15%,catGirl,54%,Maid
#230,A META WAIFU,22%,61%,71%,rom-com,87%,Tsundere
#231,A META WAIFU,43%,81%,76%,kodomomuke,41%,Idol Singer
#232,A META WAIFU,31%,114%,99%,Action,46%,Dandere
#233,A META WAIFU,102%,113%,107%,Ecchi,36%,Catgirl
#234,A META WAIFU,95%,62%,21%,LAB,31%,Catgirl
#235,A META WAIFU,108%,25%,61%,rom-com,58%,Tsundere
#236,A META WAIFU,54%,74%,51%,Shoujo,109%,Dandere
#237,A META WAIFU,69%,75%,75%,Harem,49%,Dominant
#238,A META WAIFU,92%,93%,46%,Action,67%,Otaku
#239,A META WAIFU,107%,77%,22%,kodomomuke,42%,Moekko
#240,A META WAIFU,87%,43%,36%,kodomomuke,40%,Meganekko
#241,A META WAIFU,70%,88%,114%,rom-com,83%,Volatile
#242,A META WAIFU,103%,104%,74%,catGirl,111%,Volatile
#243,A META WAIFU,69%,24%,81%,Ecchi,83%,Otaku
#244,A META WAIFU,66%,27%,71%,kodomomuke,102%,Meganekko
#245,A META WAIFU,90%,40%,83%,Ecchi,106%,Moekko
#246,A META WAIFU,88%,35%,107%,Action,46%,Kuudere
#247,A META WAIFU,18%,55%,93%,Harem,36%,Varient
#248,A META WAIFU,53%,22%,69%,Harem,25%,Catgirl
#249,A META WAIFU,27%,45%,86%,Harem,100%,Catgirl
#250,A META WAIFU,25%,110%,60%,catGirl,88%,Volatile
#251,A META WAIFU,31%,67%,65%,Ecchi,94%,Varient
#252,A META WAIFU,26%,82%,96%,Ecchi,32%,Meganekko
#253,A META WAIFU,78%,68%,48%,Action,102%,Dandere
#254,A META WAIFU,47%,16%,28%,Harem,59%,Meganekko
#255,A META WAIFU,114%,40%,93%,LAB,31%,Volatile
#256,A META WAIFU,49%,104%,74%,rom-com,79%,Maid
#257,A META WAIFU,105%,60%,30%,Action,115%,Otaku
#258,A META WAIFU,57%,65%,115%,catGirl,50%,Meganekko
#259,A META WAIFU,51%,59%,84%,LAB,52%,Catgirl
#260,A META WAIFU,32%,58%,69%,LAB,53%,Varient
#261,A META WAIFU,54%,38%,27%,Harem,78%,Volatile
#262,A META WAIFU,73%,92%,28%,rom-com,84%,Otaku
#263,A META WAIFU,17%,80%,27%,Harem,75%,Idol Singer
#264,A META WAIFU,74%,37%,103%,Ecchi,78%,Kuudere
#265,A META WAIFU,112%,33%,61%,Ecchi,48%,Moekko
#266,A META WAIFU,23%,44%,56%,Action,108%,Kuudere
#267,A META WAIFU,105%,70%,101%,LAB,34%,Catgirl
#268,A META WAIFU,110%,99%,25%,rom-com,26%,Dandere
#269,A META WAIFU,27%,29%,80%,LAB,111%,Kuudere
#270,A META WAIFU,107%,18%,28%,LAB,30%,Yandere
#271,A META WAIFU,25%,106%,70%,kodomomuke,29%,Otaku
#272,A META WAIFU,39%,95%,45%,Action,88%,Catgirl
#273,A META WAIFU,106%,101%,35%,Action,49%,Dominant
#274,A META WAIFU,113%,75%,53%,Ecchi,41%,Maid
#275,A META WAIFU,88%,77%,33%,Action,21%,Catgirl
#276,A META WAIFU,80%,74%,36%,LAB,31%,Yandere
#277,A META WAIFU,63%,85%,57%,rom-com,17%,Varient
#278,A META WAIFU,16%,81%,42%,catGirl,80%,Yandere
#279,A META WAIFU,73%,97%,21%,Shoujo,51%,Otaku
#280,A META WAIFU,48%,21%,101%,Shoujo,88%,Volatile
#281,A META WAIFU,105%,56%,32%,Harem,68%,Idol Singer
#282,A META WAIFU,94%,94%,80%,LAB,85%,Kuudere
#283,A META WAIFU,105%,27%,100%,kodomomuke,44%,Kuudere
#284,A META WAIFU,97%,29%,17%,Harem,37%,Otaku
#285,A META WAIFU,38%,17%,97%,kodomomuke,39%,Kuudere
#286,A META WAIFU,87%,91%,21%,Shoujo,46%,Dandere
#287,A META WAIFU,64%,57%,101%,LAB,92%,Moekko
#288,A META WAIFU,78%,36%,78%,LAB,108%,Yandere
#289,A META WAIFU,60%,26%,56%,catGirl,92%,Tsundere
#290,A META WAIFU,110%,106%,70%,Ecchi,51%,Catgirl
#291,A META WAIFU,66%,70%,39%,Harem,19%,Maid
#292,A META WAIFU,42%,61%,65%,catGirl,17%,Meganekko
#293,A META WAIFU,46%,101%,22%,LAB,76%,Maid
#294,A META WAIFU,106%,66%,18%,Action,76%,Yandere
#295,A META WAIFU,35%,35%,85%,Shoujo,92%,Dominant
#296,A META WAIFU,30%,95%,83%,Harem,90%,Catgirl
#297,A META WAIFU,96%,21%,15%,LAB,92%,Moekko
#298,A META WAIFU,86%,38%,80%,rom-com,89%,Tsundere
#299,A META WAIFU,97%,46%,51%,Ecchi,77%,Tsundere
#300,A META WAIFU,102%,24%,40%,LAB,18%,Meganekko
#301,A META WAIFU,67%,60%,58%,Shoujo,99%,Meganekko
#302,A META WAIFU,58%,49%,23%,kodomomuke,102%,Dominant
#303,A META WAIFU,68%,67%,46%,LAB,88%,Otaku
#304,A META WAIFU,88%,20%,109%,Ecchi,80%,Idol Singer
#305,A META WAIFU,114%,22%,102%,Harem,95%,Yandere
#306,A META WAIFU,111%,74%,100%,Ecchi,79%,Idol Singer
#307,A META WAIFU,56%,61%,99%,Ecchi,57%,Meganekko
#308,A META WAIFU,72%,107%,81%,kodomomuke,34%,Catgirl
#309,A META WAIFU,68%,50%,85%,catGirl,80%,Moekko
#310,A META WAIFU,71%,64%,21%,rom-com,83%,Maid
#311,A META WAIFU,108%,22%,91%,kodomomuke,21%,Kuudere
#312,A META WAIFU,76%,78%,46%,Action,25%,Meganekko
#313,A META WAIFU,103%,87%,52%,Ecchi,35%,Otaku
#314,A META WAIFU,79%,83%,31%,Action,107%,Otaku
#315,A META WAIFU,32%,35%,87%,kodomomuke,109%,Volatile
#316,A META WAIFU,15%,27%,37%,catGirl,97%,Kuudere
#317,A META WAIFU,107%,52%,34%,Shoujo,73%,Otaku
#318,A META WAIFU,82%,83%,57%,catGirl,17%,Dominant
#319,A META WAIFU,44%,56%,95%,kodomomuke,17%,Kuudere
#320,A META WAIFU,102%,20%,104%,kodomomuke,18%,Meganekko
#321,A META WAIFU,64%,47%,113%,catGirl,43%,Dandere
#322,A META WAIFU,113%,49%,40%,catGirl,19%,Meganekko
#323,A META WAIFU,65%,61%,78%,Action,43%,Maid
#324,A META WAIFU,18%,78%,43%,Ecchi,38%,Meganekko
#325,A META WAIFU,89%,34%,43%,rom-com,60%,Meganekko
#326,A META WAIFU,88%,19%,80%,catGirl,99%,Volatile
#327,A META WAIFU,17%,26%,36%,kodomomuke,114%,Dominant
#328,A META WAIFU,97%,27%,66%,Shoujo,99%,Moekko
#329,A META WAIFU,39%,93%,17%,Ecchi,111%,Catgirl
#330,A META WAIFU,30%,75%,33%,catGirl,64%,Volatile
#331,A META WAIFU,115%,84%,41%,Ecchi,74%,Dandere
#332,A META WAIFU,57%,20%,64%,LAB,94%,Tsundere
#333,A META WAIFU,84%,38%,55%,LAB,110%,Dominant
#334,A META WAIFU,108%,103%,67%,Action,65%,Yandere
#335,A META WAIFU,90%,71%,104%,Action,112%,Kuudere
#336,A META WAIFU,97%,52%,53%,Ecchi,85%,Dominant
#337,A META WAIFU,99%,22%,76%,rom-com,21%,Maid
#338,A META WAIFU,87%,39%,72%,rom-com,84%,Meganekko
#339,A META WAIFU,43%,89%,98%,Shoujo,103%,Meganekko
#340,A META WAIFU,42%,47%,30%,Harem,107%,Varient
#341,A META WAIFU,17%,41%,75%,Action,98%,Tsundere
#342,A META WAIFU,107%,49%,44%,Shoujo,28%,Catgirl
#343,A META WAIFU,64%,109%,63%,rom-com,100%,Moekko
#344,A META WAIFU,40%,111%,59%,kodomomuke,30%,Otaku
#345,A META WAIFU,24%,25%,112%,rom-com,100%,Volatile
#346,A META WAIFU,38%,115%,25%,LAB,75%,Otaku
#347,A META WAIFU,102%,19%,23%,LAB,110%,Catgirl
#348,A META WAIFU,17%,110%,106%,Shoujo,21%,Otaku
#349,A META WAIFU,35%,114%,98%,kodomomuke,57%,Maid
#350,A META WAIFU,21%,20%,43%,Shoujo,34%,Moekko
#351,A META WAIFU,81%,27%,96%,kodomomuke,100%,Catgirl
#352,A META WAIFU,17%,79%,41%,rom-com,113%,Kuudere
#353,A META WAIFU,109%,34%,87%,Shoujo,54%,Catgirl
#354,A META WAIFU,114%,58%,50%,Ecchi,103%,Idol Singer
#355,A META WAIFU,42%,41%,43%,kodomomuke,111%,Tsundere
#356,A META WAIFU,61%,35%,24%,LAB,102%,Volatile
#357,A META WAIFU,65%,99%,16%,LAB,58%,Moekko
#358,A META WAIFU,36%,83%,70%,LAB,22%,Catgirl
#359,A META WAIFU,74%,19%,97%,Action,78%,Tsundere
#360,A META WAIFU,107%,83%,74%,kodomomuke,45%,Dandere
#361,A META WAIFU,54%,91%,69%,Shoujo,38%,Moekko
#362,A META WAIFU,90%,89%,62%,Action,105%,Varient
#363,A META WAIFU,31%,42%,53%,catGirl,108%,Yandere
#364,A META WAIFU,22%,19%,108%,LAB,97%,Varient
#365,A META WAIFU,114%,79%,98%,catGirl,38%,Kuudere
#366,A META WAIFU,19%,86%,68%,catGirl,47%,Kuudere
#367,A META WAIFU,36%,82%,15%,Shoujo,110%,Otaku
#368,A META WAIFU,111%,47%,37%,Shoujo,59%,Idol Singer
#369,A META WAIFU,21%,74%,28%,LAB,66%,Varient
#370,A META WAIFU,93%,112%,110%,Action,57%,Volatile
#371,A META WAIFU,25%,103%,99%,Action,107%,Otaku
#372,A META WAIFU,98%,44%,43%,Shoujo,40%,Tsundere
#373,A META WAIFU,25%,65%,45%,catGirl,111%,Idol Singer
#374,A META WAIFU,87%,102%,22%,Shoujo,82%,Maid
#375,A META WAIFU,56%,45%,102%,catGirl,72%,Dominant
#376,A META WAIFU,65%,32%,96%,Ecchi,16%,Otaku
#377,A META WAIFU,70%,78%,108%,kodomomuke,93%,Maid
#378,A META WAIFU,47%,35%,69%,kodomomuke,59%,Idol Singer
#379,A META WAIFU,57%,88%,115%,Ecchi,50%,Dandere
#380,A META WAIFU,96%,22%,18%,Action,25%,Meganekko
#381,A META WAIFU,26%,47%,31%,Harem,18%,Dandere
#382,A META WAIFU,60%,106%,31%,LAB,32%,Kuudere
#383,A META WAIFU,46%,45%,89%,catGirl,93%,Volatile
#384,A META WAIFU,101%,50%,102%,Shoujo,86%,Dandere
#385,A META WAIFU,52%,102%,39%,Action,18%,Maid
#386,A META WAIFU,25%,48%,96%,rom-com,24%,Dandere
#387,A META WAIFU,85%,107%,42%,LAB,52%,Moekko
#388,A META WAIFU,115%,53%,92%,Ecchi,28%,Maid
#389,A META WAIFU,54%,24%,44%,Ecchi,49%,Moekko
#390,A META WAIFU,77%,29%,21%,rom-com,23%,Volatile
#391,A META WAIFU,91%,45%,78%,Shoujo,62%,Meganekko
#392,A META WAIFU,85%,92%,32%,Ecchi,15%,Maid
#393,A META WAIFU,16%,56%,36%,kodomomuke,54%,Maid
#394,A META WAIFU,16%,105%,83%,Action,63%,Otaku
#395,A META WAIFU,28%,31%,19%,kodomomuke,97%,Meganekko
#396,A META WAIFU,17%,115%,70%,Ecchi,20%,Maid
#397,A META WAIFU,60%,58%,26%,Harem,99%,Tsundere
#398,A META WAIFU,65%,102%,95%,Harem,17%,Meganekko
#399,A META WAIFU,29%,52%,26%,Ecchi,52%,Tsundere
#400,A META WAIFU,99%,19%,92%,rom-com,104%,Varient
#401,A META WAIFU,79%,95%,71%,rom-com,60%,Yandere
#402,A META WAIFU,109%,68%,17%,Harem,91%,Meganekko
#403,A META WAIFU,109%,63%,24%,Action,58%,Catgirl
#404,A META WAIFU,44%,67%,91%,rom-com,92%,Idol Singer
#405,A META WAIFU,94%,75%,22%,kodomomuke,80%,Kuudere
#406,A META WAIFU,55%,49%,43%,Shoujo,21%,Yandere
#407,A META WAIFU,18%,88%,29%,rom-com,25%,Meganekko
#408,A META WAIFU,87%,44%,50%,LAB,17%,Meganekko
#409,A META WAIFU,64%,24%,42%,Ecchi,59%,Maid
#410,A META WAIFU,32%,36%,79%,kodomomuke,80%,Kuudere
#411,A META WAIFU,115%,40%,43%,Ecchi,92%,Tsundere
#412,A META WAIFU,115%,55%,72%,kodomomuke,50%,Meganekko
#413,A META WAIFU,80%,50%,84%,catGirl,26%,Volatile
#414,A META WAIFU,57%,101%,89%,catGirl,20%,Catgirl
#415,A META WAIFU,103%,104%,81%,Ecchi,71%,Varient
#416,A META WAIFU,91%,82%,93%,kodomomuke,19%,Dominant
